gene,Ast,End,Exc,Inh,Mic,NC,OPC,Olig,Per,VLMC
ABCC8,0.0,0.0,0.3102378082881801,0.0404629021667761,0.0,0.2885413341729068,0.0,0.0,0.0,0.0
ABCC9,0.4064183811278944,0.0,0.22571816225320482,0.0,0.0,0.0,0.0,0.0,0.7481466706463451,0.0
ABCD1,0.2645398683179474,0.0,0.0,0.0,0.2229657210766826,0.03173324742268041,0.0,0.0,0.0,0.2933925684374315
ABCD1P4,0.16650934345000223,0.0,0.0,0.0,0.0,0.3232550110929485,0.0,0.0,0.0,0.711825186615804
ABCD2,0.5156793949919207,0.0,0.07976981379245812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCD3,0.12751371115173674,0.0,0.0,0.0,0.0,0.0,0.16091954022988506,0.10233674108074275,0.0,0.11767151767151768
ABCD4,0.07280973140205316,0.0,0.0,0.021341463414634148,0.0,0.000684354600968625,0.0,0.0,0.0,0.0
ABCE1,0.0,0.0,0.07843641807803874,0.009028233749179252,0.0,0.0,0.0,0.0,0.0,0.0
ABCF1,0.0,0.0,0.0011228595489847478,0.0,0.0,0.030243209096651926,0.0,0.0,0.0,0.0
ABCF2,0.0,0.0,0.1313745672312155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCF3,0.0,0.0,0.04018901469074577,0.08333464190531976,0.0,0.0,0.0,0.0,0.0,0.0
ABCG1,0.0,0.0,0.0,0.012791991101223582,0.0,0.03336332133406273,0.27527191501783155,0.5135584021953267,0.0,0.0
ABCG2,0.0,0.810089005706005,0.0,0.0,0.399390226366693,0.35432634149240316,0.28580373044982843,0.0,0.1789560881782934,0.0036644951140065146
ABCG4,0.0,0.0,0.06709587340986659,0.7075610944066794,0.0,0.09071067544800122,0.0,0.0,0.0,0.0
ABCG5,0.044517282479141836,0.0,0.3299390431118646,0.006483913328956008,0.0,0.0,0.0,0.0,0.0,0.0
ABCG8,0.0,0.0,0.3300348973319115,0.12680564674983585,0.0,0.08780058201868586,0.0,0.0,0.0,0.0
ABHD1,0.7010640017553801,0.07242040378721197,0.0,0.0,0.0,0.0821520618556701,0.03588966236425401,0.2398620180800338,0.0,0.0
ABHD10,0.0,0.0,0.16618321324974267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD11,0.0,0.0,0.20040703658650696,0.0,0.3267861376598119,0.0,0.0,0.0,0.0,0.0
ABHD12,0.0,0.0,0.0,0.13778834046437696,0.24503893780649305,0.058722889029269316,0.10286050156739812,0.09852910494471104,0.0,0.0
ABHD12B,0.0,0.0,0.3015987292026312,0.0,0.0,0.003063256241384592,0.07093170320404722,0.0,0.0,0.0
ABHD13,0.0,0.0,0.2295540692031149,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD14A,0.0,0.0,0.001614110601665575,0.3918166750527571,0.0,0.0,0.0,0.0,0.0,0.0
ABHD14A-ACY1,0.1189194115648522,0.0,0.0,0.27098937874446627,0.0,0.0035438144329896907,0.0,0.0,0.0,0.0
ABHD14B,0.04879763746308536,0.0,0.06940675587161972,0.0,0.0,0.0,0.0,0.0,0.23265318554322315,0.0
ABHD15,0.2778843535541217,0.0,0.0,0.0,0.5995317752111934,0.11995274914089347,0.0,0.1228168809220905,0.6251999515164801,0.0
ABHD16A,0.0,0.0,0.04540563301207074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD16B,0.34831892518124197,0.0,0.0,0.0,0.27493424876402284,0.06209729381443299,0.0,0.035970333745364645,0.0,0.0
ABHD17A,0.0,0.11107784431137725,0.0,0.0,0.0,0.0,0.0,0.36852160745669843,0.0,0.12276108135874414
ABHD17AP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40042503644969146,0.0,0.1465757261015917
ABHD17AP3,0.0,0.3033941068573761,0.0068073360157200336,0.0,0.0,0.0,0.0,0.4239411750519241,0.0,0.0
ABHD17AP6,0.0,0.0,0.4851486889767727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17AP8,0.0,0.0,0.0,0.0,0.020721067487811138,0.0469555412371134,0.8122446486277219,0.0,0.0,0.0
ABHD17B,0.0,0.0,0.0,0.0,0.0,0.0,0.041274817136886105,0.4994724915559672,0.0,0.0
ABHD17C,0.17080171246716255,0.0,0.07897445494526059,0.0,0.0,0.0,0.0,0.0,0.018297697368421052,0.0
ABHD2,0.12860357193081143,0.0,0.0,0.24574702802252785,0.0,0.1671667719519899,0.54566447659758,0.0,0.0,0.0
ABHD3,0.3078827230537436,0.20286603072418818,0.0,0.0,0.2861473674433096,0.09509932435586005,0.0,0.0,0.0,0.0
ABHD4,0.2007948008814852,0.2836896789368923,0.0,0.0,0.0,0.0,0.1688009510151071,0.08748461974701982,0.08645124716553287,0.34994834536470165
ABHD5,0.0,0.0,0.13158510339665014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.320661985319086,0.0,0.0
